"title","year","metacritic_score","metacritic_rank","oscars_nom","oscars_win","min_oscar_nom_rank","oscar_win_rank","tie_rank"
"Crouching Tiger, Hidden Dragon",2000,94,1,1,0,124,108,1
"Yi Yi",2000,93,2,0,0,124,108,1
"Beau Travail",2000,91,3,0,0,124,108,1
"Almost Famous",2000,90,4,0,0,124,108,1
"Chicken Run",2000,88,5,0,0,124,108,1
"The Wind Will Carry Us",2000,86,6,0,0,124,108,1
"Traffic",2000,86,7,1,0,124,108,2
"Before Night Falls",2000,85,8,0,0,124,108,1
"You Can Count on Me",2000,85,9,0,0,124,108,2
"Sound and Fury",2000,85,10,0,0,124,108,3
"Paragraph 175",2000,85,11,0,0,124,108,4
"Calle 54",2000,84,12,0,0,124,108,1
"Quince Tree of the Sun",2000,82,13,0,0,124,108,1
"One Day in September",2000,82,14,0,0,124,108,2
"The Filth and the Fury",2000,82,15,0,0,124,108,3
"George Washington",2000,82,16,0,0,124,108,4
"I'm the One That I Want",2000,81,17,0,0,124,108,1
"The Color of Paradise",2000,80,18,0,0,124,108,1
"Gimme Shelter (re-release)",2000,80,19,0,0,124,108,2
"Set Me Free",2000,80,20,0,0,124,108,3
"Spring Forward",2000,79,21,0,0,124,108,1
"Two Family House",2000,79,22,0,0,124,108,2
"Chunhyangdyun",2000,79,23,0,0,124,108,3
"High Fidelity",2000,79,24,0,0,124,108,4
"Beautiful People",2000,79,25,0,0,124,108,5
"Into the Arms of Strangers: Stories of the Kindertransport",2000,79,26,0,0,124,108,6
"Praise",2000,79,27,0,0,124,108,7
"The House of Mirth",2000,78,28,0,0,124,108,1
"Thirteen",2000,78,29,0,0,124,108,2
"A Time for Drunken Horses",2000,78,30,0,0,124,108,3
"Best in Show",2000,78,31,0,0,124,108,4
"Human Resources",2000,78,32,0,0,124,108,5
"Ça commence aujourd'hui",2000,78,33,0,0,124,108,6
"Pollock",2000,77,34,0,0,124,108,1
"Humanité",2000,77,35,0,0,124,108,2
"The Decline of Western Civilization Part III",2000,77,36,0,0,124,108,3
"Shanghai Noon",2000,77,37,0,0,124,108,4
"Jesus' Son",2000,76,38,0,0,124,108,1
"Ratcatcher",2000,76,39,0,0,124,108,2
"Chuck & Buck",2000,76,40,0,0,124,108,3
"Madadayo",2000,76,41,0,0,124,108,4
"The Virgin Suicides",2000,76,42,0,0,124,108,5
"The Original Kings of Comedy",2000,76,43,0,0,124,108,6
"Things You Can Tell Just by Looking at Her",2000,76,44,0,0,124,108,7
"Suzhou River",2000,76,45,0,0,124,108,8
"State and Main",2000,75,46,0,0,124,108,1
"Taboo",2000,75,47,0,0,124,108,2
"The Life and Times of Hank Greenberg",2000,75,48,0,0,124,108,3
"Girl on the Bridge",2000,75,49,0,0,124,108,4
"Croupier",2000,75,50,0,0,124,108,5
"Kippur",2000,75,51,0,0,124,108,6
"Dark Days",2000,75,52,0,0,124,108,7
"The Specialist",2000,75,53,0,0,124,108,8
"Solas",2000,75,54,0,0,124,108,9
"Joe Gould's Secret",2000,74,55,0,0,124,108,1
"The Legend of Drunken Master",2000,74,56,0,0,124,108,2
"East Is East",2000,74,57,0,0,124,108,3
"Judy Berlin",2000,74,58,0,0,124,108,4
"A Good Baby",2000,74,59,0,0,124,108,5
"Billy Elliot",2000,74,60,0,0,124,108,6
"Place Vendôme",2000,74,61,0,0,124,108,7
"Shower",2000,74,62,0,0,124,108,8
"Such a Long Journey",2000,74,63,0,0,124,108,9
"Cast Away",2000,73,64,0,0,124,108,1
"Les convoyeurs attendent",2000,73,65,0,0,124,108,2
"Water Drops on Burning Rocks",2000,73,66,0,0,124,108,3
"Erin Brockovich",2000,73,67,1,0,124,108,4
"Urbania",2000,73,68,0,0,124,108,5
"Meet the Parents",2000,73,69,0,0,124,108,6
"Titanic Town",2000,73,70,0,0,124,108,7
"Space Cowboys",2000,73,71,0,0,124,108,8
"Beyond the Mat",2000,73,72,0,0,124,108,9
"Wonder Boys",2000,73,73,0,0,124,108,10
"Not One Less",2000,73,74,0,0,124,108,11
"Marcel Proust's Time Regained",2000,72,75,0,0,124,108,1
"Aimee & Jaguar",2000,72,76,0,0,124,108,2
"The Ballad of Ramblin' Jack",2000,72,77,0,0,124,108,3
"Wonderland",2000,71,78,0,0,124,108,1
"Me & Isaac Newton",2000,71,79,0,0,124,108,2
"The Opportunists",2000,71,80,0,0,124,108,3
"Benjamin Smoke",2000,71,81,0,0,124,108,4
"The Great Dance: A Hunter's Story",2000,71,82,0,0,124,108,5
"Shadow of the Vampire",2000,71,83,0,0,124,108,6
"Sunshine",2000,71,84,0,0,124,108,7
"Quills",2000,70,85,0,0,124,108,1
"The Tao of Steve",2000,70,86,0,0,124,108,2
"Hamlet",2000,70,87,0,0,124,108,3
"Shadow Boxers",2000,70,88,0,0,124,108,4
"The Cup",2000,70,89,0,0,124,108,5
"Girlfight",2000,70,90,0,0,124,108,6
"Love & Basketball",2000,70,91,0,0,124,108,7
"The Emperor's New Groove",2000,70,92,0,0,124,108,8
