title,year,winner
"Crouching Tiger, Hidden Dragon",2000,0
Traffic,2000,0
Erin Brockovich,2000,0
Gladiator,2000,1
Chocolat,2000,0
The Lord of the Rings: The Fellowship of the Ring,2001,0
Gosford Park,2001,0
In the Bedroom,2001,0
A Beautiful Mind,2001,1
Moulin Rouge!,2001,0
The Lord of the Rings: The Two Towers,2002,0
The Pianist,2002,0
Chicago,2002,1
The Hours,2002,0
Gangs of New York,2002,0
The Lord of the Rings: The Return of the King,2003,1
Lost in Translation,2003,0
Mystic River,2003,0
Master and Commander: The Far Side of the World,2003,0
Seabiscuit,2003,0
Sideways,2004,0
Million Dollar Baby,2004,1
The Aviator,2004,0
Ray,2004,0
Finding Neverland,2004,0
Capote,2005,0
Brokeback Mountain,2005,0
"Good Night, and Good Luck.",2005,0
Munich,2005,0
Crash,2005,1
The Queen,2006,0
Letters from Iwo Jima,2006,0
The Departed,2006,1
Little Miss Sunshine,2006,0
Babel,2006,0
There Will Be Blood,2007,0
No Country for Old Men,2007,1
Atonement,2007,0
Michael Clayton,2007,0
Juno,2007,0
Slumdog Millionaire,2008,1
Milk,2008,0
Frost/Nixon,2008,0
The Curious Case of Benjamin Button,2008,0
The Reader,2008,0
The Hurt Locker,2009,1
Up,2009,0
An Education,2009,0
Avatar,2009,0
Up in the Air,2009,0
District 9,2009,0
Precious: Based on the Novel 'Push' by Sapphire,2009,0
A Serious Man,2009,0
Inglourious Basterds,2009,0
The Blind Side,2009,0
The Social Network,2010,0
Toy Story 3,2010,0
Winter's Bone,2010,0
The King's Speech,2010,1
The Kids Are All Right,2010,0
127 Hours,2010,0
True Grit,2010,0
The Fighter,2010,0
Black Swan,2010,0
Inception,2010,0
The Artist,2011,1
Moneyball,2011,0
The Tree of Life,2011,0
The Descendants,2011,0
Hugo ,2011,0
Midnight in Paris,2011,0
War Horse,2011,0
The Help,2011,0
Extremely Loud and Incredibly Close,2011,0
Zero Dark Thirty,2012,0
Amour,2012,0
Lincoln,2012,0
Argo,2012,1
Beasts of the Southern Wild,2012,0
Django Unchained,2012,0
Silver Linings Playbook,2012,0
Life of Pi,2012,0
Les Miserables,2012,0
12 Years a Slave,2013,1
Gravity,2013,0
Her,2013,0
American Hustle,2013,0
Nebraska,2013,0
Dallas Buyers Club,2013,0
Captain Phillips,2013,0
Philomena,2013,0
The Wolf of Wall Street,2013,0
Boyhood,2014,0
Whiplash,2014,0
The Grand Budapest Hotel,2014,0
Birdman or (The Unexpected Virtue of Ignorance),2014,1
Selma,2014,0
The Imitation Game,2014,0
American Sniper,2014,0
The Theory of Everything,2014,0
Spotlight,2015,1
Mad Max: Fury Road,2015,0
Brooklyn,2015,0
Room,2015,0
Bridge of Spies,2015,0
The Big Short,2015,0
The Martian,2015,0
The Revenant,2015,0
Moonlight,2016,1
Manchester by the Sea,2016,0
La La Land,2016,0
Hell or High Water,2016,0
Arrival,2016,0
Fences,2016,0
Hidden Figures,2016,0
Hacksaw Ridge,2016,0
Lion,2016,0
Dunkirk,2017,0
Lady Bird,2017,0
Call Me by Your Name,2017,0
Phantom Thread,2017,0
"Three Billboards Outside Ebbing, Missouri",2017,0
The Shape of Water,2017,1
Get Out,2017,0
The Post,2017,0
Darkest Hour,2017,0
Roma,2018,0
The Favourite,2018,0
A Star Is Born,2018,0
Black Panther,2018,0
BlacKkKlansman,2018,0
Green Book,2018,1
Vice,2018,0
Bohemian Rhapsody,2018,0
Parasite,2019,1
The Irishman,2019,0
Marriage Story,2019,0
Little Women,2019,0
Once Upon a Time ... in Hollywood,2019,0
Ford v Ferrari,2019,0
1917,2019,0
Joker,2019,0
Jojo Rabbit,2019,0
The Father,2020,0
Judas and the Black Messiah,2020,0
Mank,2020,0
Minari,2020,0
Nomadland,2020,1
Promising Young Woman,2020,0
Sound of Metal,2020,0
The Trial of the Chicago 7,2020,0
Belfast,2021,0
CODA,2021,1
Don't Look Up,2021,0
Drive My Car,2021,0
Dune: Part One,2021,0
King Richard,2021,0
Licorice Pizza,2021,0
Nightmare Alley,2021,0
The Power of the Dog,2021,0
West Side Story,2021,0
All Quiet on the Western Front,2022,0
Avatar: The Way of Water,2022,0
The Banshees of Inisherin,2022,0
Elvis,2022,0
Everything Everywhere All at Once,2022,1
The Fabelmans,2022,0
TÁR,2022,0
Top Gun: Maverick,2022,0
Triangle of Sadness,2022,0
Women Talking,2022,0
Past Lives,2023,0
The Holdovers,2023,0
Oppenheimer,2023,0
Anatomy of a Fall,2023,0
Killers of the Flower Moon,2023,0
Barbie,2023,0
Poor Things,2023,0
Maestro,2023,0
American Fiction,2023,0
The Zone of Interest,2023,0
