State,State Code,County,State FIPS,County FIPS,FIPS,Team,Color,County Population,Clinton,Trump,Total,% Clinton,% Trump,Vote Difference C-T,Vote Difference T-C,Percent Difference C-T,Percent Difference T-C
Alabama,AL,Henry County,1,67,1067,Falcons,#a71930,17221,2286,5623,8017,0.285144069,0.701384558,-3337,3337,-0.416240489,0.416240489
Alabama,AL,Houston County,1,69,1069,Saints,#9f8958,104173,10547,30567,42030,0.250939805,0.727266238,-20020,20020,-0.476326433,0.476326433
Alabama,AL,Jackson County,1,71,1071,Falcons,#a71930,52419,3663,16643,20785,0.17623286,0.800721674,-12980,12980,-0.624488814,0.624488814
Alabama,AL,Jefferson County,1,73,1073,Saints,#9f8958,660367,151581,130614,290111,0.522493115,0.450220778,20967,-20967,0.072272337,-0.072272337
Alabama,AL,Lamar County,1,75,1075,Saints,#9f8958,13886,1035,5819,6931,0.149329101,0.839561391,-4784,4784,-0.69023229,0.69023229
Alabama,AL,Lauderdale County,1,77,1077,Saints,#9f8958,92596,9877,27735,38813,0.254476593,0.714580166,-17858,17858,-0.460103574,0.460103574
Alabama,AL,Lawrence County,1,79,1079,Cowboys,#002244,33115,3611,10732,14623,0.246939752,0.73391233,-7121,7121,-0.486972577,0.486972577
Alabama,AL,Lee County,1,81,1081,Falcons,#a71930,156993,20987,34321,57668,0.363928002,0.595148089,-13334,13334,-0.231220087,0.231220087
Alabama,AL,Limestone County,1,83,1083,Saints,#9f8958,91663,9340,28824,39400,0.237055838,0.731573604,-19484,19484,-0.494517766,0.494517766
Alabama,AL,Lowndes County,1,85,1085,Saints,#9f8958,10458,4882,1751,6676,0.731276213,0.262282804,3131,-3131,0.468993409,-0.468993409
Alabama,AL,Macon County,1,87,1087,Saints,#9f8958,19105,7237,1394,8748,0.827274806,0.159350709,5843,-5843,0.667924097,-0.667924097
Alabama,AL,Madison County,1,89,1089,Saints,#9f8958,353089,62435,89199,159473,0.39150828,0.559336063,-26764,26764,-0.167827783,0.167827783
Alabama,AL,Marengo County,1,91,1091,Saints,#9f8958,20028,5607,5224,10948,0.512148338,0.477164779,383,-383,0.034983559,-0.034983559
Alabama,AL,Marion County,1,93,1093,Saints,#9f8958,30168,1432,11273,12912,0.110904585,0.873063817,-9841,9841,-0.762159232,0.762159232
Alabama,AL,Marshall County,1,95,1095,Falcons,#a71930,94725,4913,29217,34965,0.140511941,0.835607036,-24304,24304,-0.695095095,0.695095095
Alabama,AL,Mobile County,1,97,1097,Saints,#9f8958,415395,68429,91087,163387,0.41881545,0.557492334,-22658,22658,-0.138676884,0.138676884
Alabama,AL,Monroe County,1,99,1099,Saints,#9f8958,21673,4310,5771,10185,0.42317133,0.566617575,-1461,1461,-0.143446244,0.143446244
Alabama,AL,Montgomery County,1,101,1101,Saints,#9f8958,226519,58669,33928,94572,0.620363321,0.358753119,24741,-24741,0.261610202,-0.261610202
Alabama,AL,Morgan County,1,103,1103,Saints,#9f8958,119565,11216,37392,49991,0.224360385,0.747974635,-26176,26176,-0.523614251,0.523614251
Alabama,AL,Perry County,1,105,1105,Saints,#9f8958,9652,3823,1403,5255,0.727497621,0.266983825,2420,-2420,0.460513796,-0.460513796
Alabama,AL,Pickens County,1,107,1107,Saints,#9f8958,20864,3972,5454,9494,0.418369497,0.574468085,-1482,1482,-0.156098589,0.156098589
Alabama,AL,Pike County,1,109,1109,Saints,#9f8958,33046,5039,7681,13025,0.386871401,0.589712092,-2642,2642,-0.202840691,0.202840691
Alabama,AL,Randolph County,1,111,1111,Falcons,#a71930,22696,2290,7697,10130,0.226061204,0.75982231,-5407,5407,-0.533761106,0.533761106
Alabama,AL,Russell County,1,113,1113,Falcons,#a71930,59660,9577,9210,19136,0.500470318,0.481291806,367,-367,0.019178512,-0.019178512
Alabama,AL,St. Clair County,1,115,1115,Saints,#9f8958,87074,5550,31579,37937,0.146295174,0.832406358,-26029,26029,-0.686111184,0.686111184
Alabama,AL,Shelby County,1,117,1117,Saints,#9f8958,208713,22927,72846,99208,0.231100314,0.734275462,-49919,49919,-0.503175147,0.503175147
Alabama,AL,Sumter County,1,119,1119,Saints,#9f8958,13103,4739,1581,6391,0.741511501,0.247379127,3158,-3158,0.494132374,-0.494132374
Alabama,AL,Talladega County,1,121,1121,Saints,#9f8958,80862,12108,20596,33218,0.364501174,0.620025287,-8488,8488,-0.255524113,0.255524113
Alabama,AL,Tallapoosa County,1,123,1123,Saints,#9f8958,40844,5271,12967,18504,0.284857328,0.700767402,-7696,7696,-0.415910073,0.415910073
Alabama,AL,Tuscaloosa County,1,125,1125,Saints,#9f8958,203976,31746,47701,81708,0.388529887,0.583798404,-15955,15955,-0.195268517,0.195268517
Alabama,AL,Walker County,1,127,1127,Saints,#9f8958,65294,4486,24208,29243,0.153404233,0.827822043,-19722,19722,-0.674417809,0.674417809
Alabama,AL,Washington County,1,129,1129,Saints,#9f8958,16804,2366,6031,8492,0.278615167,0.710197833,-3665,3665,-0.431582666,0.431582666
Alabama,AL,Wilcox County,1,131,1131,Saints,#9f8958,11059,4329,1737,6095,0.710254307,0.284987695,2592,-2592,0.425266612,-0.425266612
Alabama,AL,Winston County,1,133,1133,Saints,#9f8958,23877,871,9225,10255,0.084934178,0.89956119,-8354,8354,-0.814627011,0.814627011
Alaska,AK,Aleutians East Borough,2,13,2013,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Aleutians West Census Area,2,16,2016,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Anchorage Municipality,2,20,2020,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Bethel Census Area,2,50,2050,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Bristol Bay Borough,2,60,2060,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Denali Borough,2,68,2068,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Dillingham Census Area,2,70,2070,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Fairbanks North Star Borough,2,90,2090,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Haines Borough,2,100,2100,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Hoonah-Angoon Census Area,2,105,2105,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Juneau City and Borough,2,110,2110,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Kenai Peninsula Borough,2,122,2122,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Ketchikan Gateway Borough,2,130,2130,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Kodiak Island Borough,2,150,2150,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Wade Hampton Census Area,2,158,2158,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Lake and Peninsula Borough,2,164,2164,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Matanuska-Susitna Borough,2,170,2170,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Nome Census Area,2,180,2180,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,North Slope Borough,2,185,2185,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Northwest Arctic Borough,2,188,2188,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Petersburg Census Area,2,195,2195,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Prince of Wales-Hyder Census Area,2,198,2198,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,#N/A,2,201,2201,Seahawks,#69be28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Sitka City and Borough,2,220,2220,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Skagway Municipality,2,230,2230,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,#N/A,2,232,2232,Seahawks,#69be28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Southeast Fairbanks Census Area,2,240,2240,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Valdez-Cordova Census Area,2,261,2261,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,#N/A,2,270,2270,Seahawks,#69be28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Wrangell City and Borough,2,275,2275,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,#N/A,2,280,2280,Seahawks,#69be28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Yakutat City and Borough,2,282,2282,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Alaska,AK,Yukon-Koyukuk Census Area,2,290,2290,Seahawks,#69be28,738432,93007,130415,246588,0.377175694,0.528878129,-37408,37408,-0.151702435,0.151702435
Arizona,AZ,Apache County,4,1,4001,Cardinals,#97233f,71474,12196,5315,18659,0.653625596,0.284849134,6881,-6881,0.368776462,-0.368776462
Arizona,AZ,Cochise County,4,3,4003,Cardinals,#97233f,126427,15291,25036,43147,0.354393121,0.580248916,-9745,9745,-0.225855795,0.225855795
Arizona,AZ,Coconino County,4,5,4005,Cardinals,#97233f,139097,25308,16573,44929,0.563288744,0.368870885,8735,-8735,0.194417859,-0.194417859
Arizona,AZ,Gila County,4,7,4007,Cardinals,#97233f,53159,6746,13672,21398,0.315263109,0.638938219,-6926,6926,-0.32367511,0.32367511
Arizona,AZ,Graham County,4,9,4009,Cardinals,#97233f,37666,3301,8025,11939,0.276488818,0.672166848,-4724,4724,-0.39567803,0.39567803
Arizona,AZ,Greenlee County,4,11,4011,Cardinals,#97233f,9529,1092,1892,3243,0.336725254,0.583410422,-800,800,-0.246685168,0.246685168
Arizona,AZ,La Paz County,4,12,4012,Cardinals,#97233f,20152,1318,3381,4931,0.267288582,0.685662137,-2063,2063,-0.418373555,0.418373555
Arizona,AZ,Maricopa County,4,13,4013,Cardinals,#97233f,4167947,549040,590465,1201934,0.456797129,0.491262415,-41425,41425,-0.034465287,0.034465287
Arizona,AZ,Mohave County,4,15,4015,Cardinals,#97233f,204737,16485,54656,74189,0.222202752,0.73671299,-38171,38171,-0.514510237,0.514510237
Arizona,AZ,Navajo County,4,17,4017,Cardinals,#97233f,108277,15362,18165,35409,0.433844503,0.513005168,-2803,2803,-0.079160665,0.079160665
Arizona,AZ,Pima County,4,19,4019,Cardinals,#97233f,1010025,195649,147019,360762,0.542321531,0.40752352,48630,-48630,0.134798011,-0.134798011
Arizona,AZ,Pinal County,4,21,4021,Cardinals,#97233f,406584,35737,53857,93805,0.380971164,0.574137839,-18120,18120,-0.193166676,0.193166676
Arizona,AZ,Santa Cruz County,4,23,4023,Cardinals,#97233f,46461,10684,3650,14926,0.715797936,0.244539729,7034,-7034,0.471258207,-0.471258207
Arizona,AZ,Yavapai County,4,25,4025,Cardinals,#97233f,222255,29705,58862,92780,0.320165984,0.634425523,-29157,29157,-0.314259539,0.314259539
Arizona,AZ,Yuma County,4,27,4027,Cardinals,#97233f,204275,18336,20586,40759,0.449863834,0.505066366,-2250,2250,-0.055202532,0.055202532
Arkansas,AR,Arkansas County,5,1,5001,Cowboys,#002244,18433,1939,3825,6167,0.314415437,0.620236744,-1886,1886,-0.305821307,0.305821307
Arkansas,AR,Ashley County,5,3,5003,Saints,#9f8958,20838,2408,5338,8027,0.299987542,0.665005606,-2930,2930,-0.365018064,0.365018064
Arkansas,AR,Baxter County,5,5,5005,Cowboys,#002244,41053,4163,14655,19572,0.212701819,0.748773758,-10492,10492,-0.53607194,0.53607194
Arkansas,AR,Benton County,5,7,5007,Cowboys,#002244,249672,27894,60751,94262,0.295919883,0.644490887,-32857,32857,-0.348571004,0.348571004
Arkansas,AR,Boone County,5,9,5009,Cowboys,#002244,37222,2925,12225,15912,0.183823529,0.768288084,-9300,9300,-0.584464555,0.584464555
Arkansas,AR,Bradley County,5,11,5011,Cowboys,#002244,11094,1317,2163,3617,0.364113907,0.5980094,-846,846,-0.233895494,0.233895494
Arkansas,AR,Calhoun County,5,13,5013,Cowboys,#002244,5229,636,1554,2250,0.282666667,0.690666667,-918,918,-0.408,0.408
Arkansas,AR,Carroll County,5,15,5015,Cowboys,#002244,27704,3334,6773,10656,0.312875375,0.635604354,-3439,3439,-0.322728979,0.322728979
Arkansas,AR,Chicot County,5,17,5017,Saints,#9f8958,11027,2350,1716,4149,0.566401543,0.413593637,634,-634,0.152807906,-0.152807906
Arkansas,AR,Clark County,5,19,5019,Cowboys,#002244,22633,3606,4398,8365,0.431081889,0.525762104,-792,792,-0.094680215,0.094680215
Arkansas,AR,Clay County,5,21,5021,Cowboys,#002244,15109,1999,3779,5978,0.334392774,0.632151221,-1780,1780,-0.297758448,0.297758448
Arkansas,AR,Cleburne County,5,23,5023,Cowboys,#002244,25467,2101,9454,11968,0.175551471,0.78993984,-7353,7353,-0.614388369,0.614388369
Arkansas,AR,Cleveland County,5,25,5025,Cowboys,#002244,8311,723,2460,3299,0.21915732,0.745680509,-1737,1737,-0.526523189,0.526523189
Arkansas,AR,Columbia County,5,27,5027,Saints,#9f8958,24114,3140,5456,8837,0.355324205,0.617404096,-2316,2316,-0.262079891,0.262079891
Arkansas,AR,Conway County,5,29,5029,Cowboys,#002244,21019,2655,4844,7837,0.338777593,0.618093658,-2189,2189,-0.279316065,0.279316065
Arkansas,AR,Craighead County,5,31,5031,Cowboys,#002244,104354,10474,22798,34968,0.299531,0.651967513,-12324,12324,-0.352436513,0.352436513
Arkansas,AR,Crawford County,5,33,5033,Cowboys,#002244,61703,4476,16655,22155,0.202031144,0.751749041,-12179,12179,-0.549717897,0.549717897
Arkansas,AR,Crittenden County,5,35,5035,Cowboys,#002244,48963,8368,6953,15798,0.529687302,0.440119002,1415,-1415,0.0895683,-0.0895683
Arkansas,AR,Cross County,5,37,5037,Cowboys,#002244,17284,1995,4577,6831,0.292050944,0.67003367,-2582,2582,-0.377982726,0.377982726
Arkansas,AR,Dallas County,5,39,5039,Cowboys,#002244,7604,1165,1507,2741,0.425027362,0.549799343,-342,342,-0.124771981,0.124771981
Arkansas,AR,Desha County,5,41,5041,Cowboys,#002244,11965,2227,1915,4226,0.526975864,0.453147184,312,-312,0.07382868,-0.07382868
Arkansas,AR,Drew County,5,43,5043,Saints,#9f8958,18778,2364,3967,6552,0.360805861,0.60546398,-1603,1603,-0.24465812,0.24465812
Arkansas,AR,Faulkner County,5,45,5045,Cowboys,#002244,121552,14525,29170,46364,0.313281857,0.629151928,-14645,14645,-0.315870072,0.315870072
Arkansas,AR,Franklin County,5,47,5047,Cowboys,#002244,17702,1376,5034,6698,0.205434458,0.751567632,-3658,3658,-0.546133174,0.546133174
Arkansas,AR,Fulton County,5,49,5049,Cowboys,#002244,12204,1067,3470,4744,0.224915683,0.731450253,-2403,2403,-0.50653457,0.50653457
Arkansas,AR,Garland County,5,51,5051,Cowboys,#002244,97177,12283,26053,40337,0.304509507,0.645883432,-13770,13770,-0.341373925,0.341373925
Arkansas,AR,Grant County,5,53,5053,Cowboys,#002244,18102,1407,5160,6855,0.205251641,0.75273523,-3753,3753,-0.547483589,0.547483589
Arkansas,AR,Greene County,5,55,5055,Cowboys,#002244,44196,3056,10698,14422,0.211898488,0.741783386,-7642,7642,-0.529884898,0.529884898
Arkansas,AR,Hempstead County,5,57,5057,Cowboys,#002244,22084,2371,4391,6984,0.339490263,0.628722795,-2020,2020,-0.289232532,0.289232532
Arkansas,AR,Hot Spring County,5,59,5059,Cowboys,#002244,33426,3137,8153,11815,0.265509945,0.690055015,-5016,5016,-0.42454507,0.42454507
Arkansas,AR,Howard County,5,61,5061,Cowboys,#002244,13300,1350,3155,4634,0.291324989,0.68083729,-1805,1805,-0.3895123,0.3895123
Arkansas,AR,Independence County,5,63,5063,Cowboys,#002244,37052,2878,9925,13443,0.214089117,0.738302462,-7047,7047,-0.524213345,0.524213345
Arkansas,AR,Izard County,5,65,5065,Cowboys,#002244,13445,1111,4042,5396,0.205893254,0.749073388,-2931,2931,-0.543180133,0.543180133
Arkansas,AR,Jackson County,5,67,5067,Cowboys,#002244,17338,1583,3262,5093,0.310818771,0.640486943,-1679,1679,-0.329668172,0.329668172
Arkansas,AR,Jefferson County,5,69,5069,Cowboys,#002244,71565,15721,9231,25683,0.612116965,0.359420628,6490,-6490,0.252696336,-0.252696336
Arkansas,AR,Johnson County,5,71,5071,Cowboys,#002244,26141,2421,6072,8997,0.269089697,0.674891631,-3651,3651,-0.405801934,0.405801934
Arkansas,AR,Lafayette County,5,73,5073,Cowboys,#002244,6996,1028,1750,2835,0.362610229,0.617283951,-722,722,-0.254673721,0.254673721
Arkansas,AR,Lawrence County,5,75,5075,Cowboys,#002244,16779,1263,4064,5629,0.224373779,0.721975484,-2801,2801,-0.497601705,0.497601705
Arkansas,AR,Lee County,5,77,5077,Cowboys,#002244,9650,1735,1229,3004,0.577563249,0.409121172,506,-506,0.168442077,-0.168442077
Arkansas,AR,Lincoln County,5,79,5079,Cowboys,#002244,13820,1252,2455,3814,0.328264289,0.643681175,-1203,1203,-0.315416885,0.315416885
Arkansas,AR,Little River County,5,81,5081,Cowboys,#002244,12472,1397,3604,5192,0.269067797,0.694144838,-2207,2207,-0.425077042,0.425077042
Arkansas,AR,Logan County,5,83,5083,Cowboys,#002244,21714,1712,5737,7839,0.218395203,0.731853553,-4025,4025,-0.513458349,0.513458349
Arkansas,AR,Lonoke County,5,85,5085,Cowboys,#002244,71645,5638,19902,26766,0.210640365,0.743555257,-14264,14264,-0.532914892,0.532914892
Arkansas,AR,Madison County,5,87,5087,Cowboys,#002244,15767,1587,4917,6782,0.234001769,0.725007372,-3330,3330,-0.491005603,0.491005603
Arkansas,AR,Marion County,5,89,5089,Cowboys,#002244,16185,1377,5077,6718,0.204971718,0.755730872,-3700,3700,-0.550759155,0.550759155
Arkansas,AR,Miller County,5,91,5091,Cowboys,#002244,43908,4273,11293,16015,0.266812363,0.705151421,-7020,7020,-0.438339057,0.438339057
Arkansas,AR,Mississippi County,5,93,5093,Cowboys,#002244,43738,5621,6988,12995,0.432550981,0.537745287,-1367,1367,-0.105194306,0.105194306
Arkansas,AR,Monroe County,5,95,5095,Cowboys,#002244,7399,1298,1400,2766,0.469269704,0.506146059,-102,102,-0.036876356,0.036876356
Arkansas,AR,Montgomery County,5,97,5097,Cowboys,#002244,8970,735,2573,3445,0.213352685,0.746879536,-1838,1838,-0.533526851,0.533526851
Arkansas,AR,Nevada County,5,99,5099,Cowboys,#002244,8558,1156,2001,3233,0.357562635,0.618929787,-845,845,-0.261367151,0.261367151
Arkansas,AR,Newton County,5,101,5101,Cowboys,#002244,7913,699,2875,3731,0.187349236,0.770570893,-2176,2176,-0.583221656,0.583221656
Arkansas,AR,Ouachita County,5,103,5103,Cowboys,#002244,24358,4320,5347,9881,0.437202712,0.541139561,-1027,1027,-0.103936848,0.103936848
Arkansas,AR,Perry County,5,105,5105,Cowboys,#002244,10189,1035,2979,4213,0.24566817,0.70709708,-1944,1944,-0.461428911,0.461428911
Arkansas,AR,Phillips County,5,107,5107,Cowboys,#002244,19513,4292,2443,6894,0.622570351,0.354366115,1849,-1849,0.268204236,-0.268204236
Arkansas,AR,Pike County,5,109,5109,Cowboys,#002244,10824,684,3150,3956,0.172901921,0.796258847,-2466,2466,-0.623356926,0.623356926
Arkansas,AR,Poinsett County,5,111,5111,Cowboys,#002244,24040,1878,3149,5283,0.355479841,0.596062843,-1271,1271,-0.240583002,0.240583002
Arkansas,AR,Polk County,5,113,5113,Cowboys,#002244,20216,1210,6606,8121,0.148996429,0.81344662,-5396,5396,-0.664450191,0.664450191
Arkansas,AR,Pope County,5,115,5115,Cowboys,#002244,63390,4818,15694,21545,0.223624971,0.72842887,-10876,10876,-0.504803899,0.504803899
Arkansas,AR,Prairie County,5,117,5117,Cowboys,#002244,8291,812,2503,3404,0.238542891,0.735311398,-1691,1691,-0.496768508,0.496768508
Arkansas,AR,Pulaski County,5,119,5119,Cowboys,#002244,392664,89377,61182,157728,0.566652719,0.387895618,28195,-28195,0.178757101,-0.178757101
Arkansas,AR,Randolph County,5,121,5121,Cowboys,#002244,17469,1425,4508,6313,0.225724695,0.714082053,-3083,3083,-0.488357358,0.488357358
Arkansas,AR,St. Francis County,5,123,5123,Cowboys,#002244,26589,4031,3195,7412,0.543847814,0.431057744,836,-836,0.11279007,-0.11279007
Arkansas,AR,Saline County,5,125,5125,Cowboys,#002244,117460,13247,35852,51971,0.254892151,0.68984626,-22605,22605,-0.434954109,0.434954109
Arkansas,AR,Scott County,5,127,5127,Cowboys,#002244,10513,507,2378,3017,0.16804773,0.788200199,-1871,1871,-0.620152469,0.620152469
Arkansas,AR,Searcy County,5,129,5129,Cowboys,#002244,7869,601,2955,3698,0.162520281,0.799080584,-2354,2354,-0.636560303,0.636560303
