state,state_code,county,state_fips,county_fips,fips,team,color,county_population,biden_votes,trump_votes,total_votes,biden_pct,trump_pct
Alabama,AL,Autauga County,1,1,1001,Atlanta Braves,#13274F,55347,7503,19838,27770,0.270183651,0.714368023
Alabama,AL,Baldwin County,1,3,1003,Atlanta Braves,#13274F,203709,24578,83544,109679,0.2240903,0.761713728
Alabama,AL,Barbour County,1,5,1005,Atlanta Braves,#13274F,26489,4816,5622,10518,0.457881727,0.534512265
Alabama,AL,Bibb County,1,7,1007,Atlanta Braves,#13274F,22583,1986,7525,9595,0.206982804,0.784262637
Alabama,AL,Blount County,1,9,1009,Atlanta Braves,#13274F,57673,2640,24711,27588,0.09569378,0.895715528
Alabama,AL,Bullock County,1,11,1011,Atlanta Braves,#13274F,10696,3446,1146,4613,0.747019293,0.248428355
Alabama,AL,Butler County,1,13,1013,Atlanta Braves,#13274F,20154,3965,5458,9488,0.41789629,0.575252951
Alabama,AL,Calhoun County,1,15,1015,Atlanta Braves,#13274F,115620,15216,35101,50983,0.298452425,0.688484397
Alabama,AL,Chambers County,1,17,1017,Atlanta Braves,#13274F,34123,6365,8753,15284,0.416448574,0.572690395
Alabama,AL,Cherokee County,1,19,1019,Atlanta Braves,#13274F,25859,1624,10583,12301,0.132021787,0.860336558
Alabama,AL,Chilton County,1,21,1021,Atlanta Braves,#13274F,43943,3073,16085,19310,0.159140342,0.832988089
Alabama,AL,Choctaw County,1,23,1023,Atlanta Braves,#13274F,13170,3127,4296,7464,0.418944266,0.575562701
Alabama,AL,Clarke County,1,25,1025,Atlanta Braves,#13274F,24675,5755,7324,13135,0.438142368,0.557594214
Alabama,AL,Clay County,1,27,1027,Atlanta Braves,#13274F,13555,1267,5601,6930,0.182828283,0.808225108
Alabama,AL,Cleburne County,1,29,1029,Atlanta Braves,#13274F,15018,675,6484,7227,0.093399751,0.897191089
Alabama,AL,Coffee County,1,31,1031,Atlanta Braves,#13274F,51211,5076,16899,22275,0.227878788,0.758653199
Alabama,AL,Colbert County,1,33,1033,Atlanta Braves,#13274F,54354,8343,19203,27886,0.299182385,0.688625117
Alabama,AL,Conecuh County,1,35,1035,Atlanta Braves,#13274F,12672,2966,3442,6441,0.460487502,0.53438907
Alabama,AL,Coosa County,1,37,1037,Atlanta Braves,#13274F,10724,1796,3631,5479,0.327797043,0.662712174
Alabama,AL,Covington County,1,39,1039,Atlanta Braves,#13274F,37835,2721,14586,17430,0.156110155,0.836833046
Alabama,AL,Crenshaw County,1,41,1041,Atlanta Braves,#13274F,13963,1700,4864,6617,0.256914009,0.735076319
Alabama,AL,Cullman County,1,43,1043,Atlanta Braves,#13274F,82005,4478,36880,41851,0.106998638,0.881221476
Alabama,AL,Dale County,1,45,1045,Atlanta Braves,#13274F,49565,5170,14303,19738,0.2619313,0.724642821
Alabama,AL,Dallas County,1,47,1047,Atlanta Braves,#13274F,41131,12230,5524,17864,0.684617107,0.309225258
Alabama,AL,DeKalb County,1,49,1049,Atlanta Braves,#13274F,71130,4281,24767,29356,0.145830495,0.843677613
Alabama,AL,Elmore County,1,51,1051,Atlanta Braves,#13274F,81468,10367,30164,41030,0.252668779,0.735169388
Alabama,AL,Escambia County,1,53,1053,Atlanta Braves,#13274F,37789,4918,10869,15910,0.309113765,0.683155248
Alabama,AL,Etowah County,1,55,1055,Atlanta Braves,#13274F,103057,11567,35528,47728,0.242352497,0.744384847
Alabama,AL,Fayette County,1,57,1057,Atlanta Braves,#13274F,16759,1395,7300,8766,0.159137577,0.832762948
Alabama,AL,Franklin County,1,59,1059,Atlanta Braves,#13274F,31696,2086,10376,12578,0.165845126,0.824932422
Alabama,AL,Geneva County,1,61,1061,Atlanta Braves,#13274F,26777,1595,10848,12545,0.127142288,0.864726983
Alabama,AL,Greene County,1,63,1063,Atlanta Braves,#13274F,8479,3884,875,4775,0.813403141,0.183246073
Alabama,AL,Hale County,1,65,1065,Atlanta Braves,#13274F,15068,4687,3190,7922,0.591643524,0.402676092
Alabama,AL,Henry County,1,67,1067,Atlanta Braves,#13274F,17221,2606,6607,9298,0.280275328,0.710582921
Alabama,AL,Houston County,1,69,1069,Atlanta Braves,#13274F,104173,12917,32618,46173,0.279752236,0.706430165
Alabama,AL,Jackson County,1,71,1071,Atlanta Braves,#13274F,52419,3717,19670,23636,0.157260112,0.832205111
Alabama,AL,Jefferson County,1,73,1073,Atlanta Braves,#13274F,660367,181688,138843,325848,0.557585132,0.426097444
Alabama,AL,Lamar County,1,75,1075,Atlanta Braves,#13274F,13886,978,6174,7193,0.135965522,0.858334492
Alabama,AL,Lauderdale County,1,77,1077,Atlanta Braves,#13274F,92596,11915,31721,44339,0.26872505,0.715419834
Alabama,AL,Lawrence County,1,79,1079,Atlanta Braves,#13274F,33115,3562,12322,16031,0.222194498,0.768635768
Alabama,AL,Lee County,1,81,1081,Atlanta Braves,#13274F,156993,27860,42221,71449,0.38992848,0.590924995
Alabama,AL,Limestone County,1,83,1083,Atlanta Braves,#13274F,91663,13672,34640,49235,0.277688636,0.703564537
Alabama,AL,Lowndes County,1,85,1085,Atlanta Braves,#13274F,10458,4972,1836,6835,0.727432334,0.26861741
Alabama,AL,Macon County,1,87,1087,Atlanta Braves,#13274F,19105,7108,1541,8723,0.814857274,0.176659406
Alabama,AL,Madison County,1,89,1089,Atlanta Braves,#13274F,353089,87286,102780,194767,0.448156002,0.527707466
Alabama,AL,Marengo County,1,91,1091,Atlanta Braves,#13274F,20028,5488,5343,10900,0.503486239,0.490183486
Alabama,AL,Marion County,1,93,1093,Atlanta Braves,#13274F,30168,1463,12205,13807,0.105960745,0.883971898
Alabama,AL,Marshall County,1,95,1095,Atlanta Braves,#13274F,94725,5943,33191,39655,0.149867608,0.836994074
Alabama,AL,Mobile County,1,97,1097,Atlanta Braves,#13274F,415395,79474,101243,183164,0.433895307,0.552745081
Alabama,AL,Monroe County,1,99,1099,Atlanta Braves,#13274F,21673,4455,6147,10668,0.417604049,0.576209224
Alabama,AL,Montgomery County,1,101,1101,Atlanta Braves,#13274F,226519,64529,33311,99139,0.650894199,0.336002986
Alabama,AL,Morgan County,1,103,1103,Atlanta Braves,#13274F,119565,13234,39664,53722,0.246342281,0.738319497
Alabama,AL,Perry County,1,105,1105,Atlanta Braves,#13274F,9652,3860,1339,5230,0.738049713,0.256022945
Alabama,AL,Pickens County,1,107,1107,Atlanta Braves,#13274F,20864,4022,5594,9668,0.416011585,0.578609847
Alabama,AL,Pike County,1,109,1109,Atlanta Braves,#13274F,33046,5636,8042,13841,0.407196012,0.581027382
Alabama,AL,Randolph County,1,111,1111,Atlanta Braves,#13274F,22696,2203,8559,10837,0.203285042,0.789794223
Alabama,AL,Russell County,1,113,1113,Atlanta Braves,#13274F,59660,11228,9864,21329,0.526419429,0.462468939
Alabama,AL,St. Clair County,1,115,1115,Atlanta Braves,#13274F,87074,7744,36166,44441,0.174253505,0.813798069
Alabama,AL,Shelby County,1,117,1117,Atlanta Braves,#13274F,208713,33268,79700,114950,0.289412788,0.693344933
Alabama,AL,Sumter County,1,119,1119,Atlanta Braves,#13274F,13103,4648,1598,6291,0.738833254,0.25401367
Alabama,AL,Talladega County,1,121,1121,Atlanta Braves,#13274F,80862,13138,22235,35663,0.368393012,0.623475311
Alabama,AL,Tallapoosa County,1,123,1123,Atlanta Braves,#13274F,40844,5859,14963,20991,0.279119623,0.712829308
Alabama,AL,Tuscaloosa County,1,125,1125,Atlanta Braves,#13274F,203976,37765,51117,90172,0.418810717,0.56688329
Alabama,AL,Walker County,1,127,1127,Atlanta Braves,#13274F,65294,4834,26002,31170,0.155085018,0.834199551
Alabama,AL,Washington County,1,129,1129,Atlanta Braves,#13274F,16804,2258,6564,8876,0.254393871,0.739522307
Alabama,AL,Wilcox County,1,131,1131,Atlanta Braves,#13274F,11059,4048,1833,5903,0.685753007,0.310520075
Alabama,AL,Winston County,1,133,1133,Atlanta Braves,#13274F,23877,974,10195,11284,0.086316909,0.90349167
Alaska,AK,Aleutians East Borough,2,13,2013,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Aleutians West Census Area,2,16,2016,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Anchorage Municipality,2,20,2020,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Bethel Census Area,2,50,2050,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Bristol Bay Borough,2,60,2060,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Denali Borough,2,68,2068,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Dillingham Census Area,2,70,2070,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Fairbanks North Star Borough,2,90,2090,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Haines Borough,2,100,2100,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Hoonah-Angoon Census Area,2,105,2105,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Juneau City and Borough,2,110,2110,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Kenai Peninsula Borough,2,122,2122,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Ketchikan Gateway Borough,2,130,2130,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Kodiak Island Borough,2,150,2150,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Wade Hampton Census Area,2,158,2158,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Lake and Peninsula Borough,2,164,2164,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Matanuska-Susitna Borough,2,170,2170,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Nome Census Area,2,180,2180,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,North Slope Borough,2,185,2185,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Northwest Arctic Borough,2,188,2188,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Petersburg Census Area,2,195,2195,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Prince of Wales-Hyder Census Area,2,198,2198,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,#N/A,2,201,2201,Seattle Mariners,#005C5C,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Sitka City and Borough,2,220,2220,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Skagway Municipality,2,230,2230,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,#N/A,2,232,2232,Seattle Mariners,#005C5C,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Southeast Fairbanks Census Area,2,240,2240,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Valdez-Cordova Census Area,2,261,2261,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,#N/A,2,270,2270,Seattle Mariners,#005C5C,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Wrangell City and Borough,2,275,2275,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,#N/A,2,280,2280,Seattle Mariners,#005C5C,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Yakutat City and Borough,2,282,2282,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
Alaska,AK,Yukon-Koyukuk Census Area,2,290,2290,Seattle Mariners,#005C5C,738432,#N/A,#N/A,#N/A,#N/A,#N/A
